 batch,history,calc_int,stddev,batch_time
314,10776200,  1.2000632E+02,  2.6113152E-02,  1.8005908E-02
315,10778700,  1.1998557E+02,  3.7541799E-02,  1.2803330E-03
316,10781000,  1.1999093E+02,  1.0604414E-02,  6.1248614E-02
317,10783400,  1.2002110E+02,  2.2440173E-02,  9.4787564E-02
318,10785900,  1.2000103E+02,  3.5616453E-02,  8.7514760E-03
319,10788300,  1.1999954E+02,  2.5911221E-02,  5.2201345E-02
320,10790700,  1.1998854E+02,  1.8740415E-02,  9.5767985E-02
321,10793600,  1.1999263E+02,  2.0213808E-02,  1.1886904E-02
322,10796000,  1.2001864E+02,  3.7874744E-02,  4.7792866E-02
323,10798500,  1.1996013E+02,  2.3088454E-02,  2.6825661E-02
324,10801000,  1.1997853E+02,  1.5151451E-02,  7.3714290E-03
325,10803400,  1.1999052E+02,  2.2691026E-02,  4.3045835E-02
326,10805800,  1.2001798E+02,  1.2724879E-02,  7.8367377E-02
327,10808200,  1.2001943E+02,  2.6122322E-02,  9.5562358E-02
328,10810700,  1.2000475E+02,  2.4707212E-02,  2.2531800E-03
329,10813300,  1.2001464E+02,  3.2858510E-02,  9.9116840E-03
330,10815700,  1.1999679E+02,  1.4599478E-02,  4.6475565E-02
331,10818100,  1.1999427E+02,  1.8414656E-02,  3.4238233E-02
332,10820500,  1.1999535E+02,  1.6063715E-02,  1.9113713E-02
333,10822900,  1.1998594E+02,  1.7342166E-02,  3.6323780E-03
334,10825300,  1.2001073E+02,  1.6600531E-02,  5.7421680E-03
335,10828300,  1.1999115E+02,  3.0955520E-02,  6.6609790E-03
336,10830700,  1.1998839E+02,  1.6223036E-02,  5.0796237E-02
337,10833100,  1.2000274E+02,  2.9806206E-02,  9.4589871E-02
338,10835600,  1.1998564E+02,  2.3143051E-02,  7.2795070E-03
339,10838000,  1.1999202E+02,  2.6523169E-02,  4.3870749E-02
340,10840400,  1.1998418E+02,  2.4579798E-02,  8.0105799E-02
341,10842800,  1.2001628E+02,  2.7376951E-02,  1.1673076E-01
342,10845300,  1.1999537E+02,  1.1065534E-02,  1.2729764E-02
343,10847700,  1.2002015E+02,  3.4533521E-02,  5.6887113E-02
344,10850100,  1.2001450E+02,  4.9324575E-02,  1.0129673E-01
345,10852500,  1.1999045E+02,  9.7580660E-03,  1.4547434E-01
346,10855000,  1.1999827E+02,  2.6008227E-02,  1.3509342E-02
347,10857400,  1.1998740E+02,  6.9736088E-03,  4.7381083E-02
348,10859800,  1.2003148E+02,  2.2626324E-02,  8.1499115E-02
349,10862200,  1.2000927E+02,  2.2884196E-02,  1.1545981E-01
350,10865100,  1.2005088E+02,  3.4260819E-02,  3.4419190E-03
351,10867500,  1.2000018E+02,  2.3791661E-02,  4.0175898E-02
352,10870100,  1.2000319E+02,  1.2026496E-02,  6.2061560E-03
353,10872500,  1.2000296E+02,  2.0210460E-02,  5.0300237E-02
354,10875200,  1.1998215E+02,  3.7023760E-03,  2.1594633E-02
355,10877600,  1.1998549E+02,  1.0842017E-02,  4.7021769E-02
356,10880000,  1.1999971E+02,  3.5791526E-02,  7.1516021E-02
357,10882400,  1.1999380E+02,  2.3458277E-02,  9.6072433E-02
358,10885200,  1.2000261E+02,  3.6807211E-02,  2.4420800E-04
359,10888000,  1.1998404E+02,  8.0859126E-03,  1.2807874E-02
360,10890400,  1.2003512E+02,  1.3910849E-02,  5.7109743E-02
361,10892800,  1.2001280E+02,  3.1405651E-02,  1.0145455E-01
362,10895200,  1.1999670E+02,  1.4390843E-02,  1.4564090E-01
363,10897600,  1.2001208E+02,  3.4508452E-02,  1.8887982E-01
364,10900000,  1.2001386E+02,  2.8065313E-02,  2.2569512E-01
365,10902400,  1.2001663E+02,  3.4371534E-02,  2.6236902E-01
366,10904900,  1.1998426E+02,  1.0163477E-02,  1.9803604E-02
367,10907400,  1.2001447E+02,  1.4235820E-02,  2.2914370E-03
368,10909800,  1.2000075E+02,  3.7130587E-02,  3.8596227E-02
369,10912200,  1.2002845E+02,  1.5348274E-02,  7.4820656E-02
370,10914600,  1.2000578E+02,  2.0643279E-02,  1.1111698E-01
371,10917000,  1.2001530E+02,  1.3437719E-02,  1.4751881E-01
372,10919400,  1.1999097E+02,  3.9309765E-02,  1.6005891E-01
373,10921800,  1.1999534E+02,  3.3411056E-02,  1.4331526E-01
374,10924200,  1.1998771E+02,  1.0298913E-02,  1.2670204E-01
375,10926600,  1.2001407E+02,  2.7077705E-02,  1.0994708E-01
376,10929100,  1.1999316E+02,  1.9611847E-02,  4.2831590E-03
377,10931500,  1.1998534E+02,  1.9258233E-02,  4.8560803E-02
378,10934000,  1.1999322E+02,  3.3068492E-02,  3.3716849E-02
379,10936900,  1.2000084E+02,  2.5658437E-02,  2.0691230E-03
380,10939400,  1.1999563E+02,  1.2017922E-02,  2.6720012E-02
381,10941900,  1.1998005E+02,  3.3720576E-02,  9.1749440E-03
382,10944600,  1.1999310E+02,  3.5908250E-02,  2.3062590E-03
383,10947400,  1.1998226E+02,  4.8282817E-02,  5.1434840E-03
384,10949800,  1.1999753E+02,  1.1733920E-02,  4.1697760E-02
385,10952200,  1.1999311E+02,  2.3321241E-02,  7.8244511E-02
